title,author,summary,date,kudos
"The Disappearances of Draco Malfoy
      by
        
      
speechwriter",speechwriter,"The night that Harry and Dumbledore return from the cave, the Death Eaters are delayed from reaching the top of the Astronomy Tower for one more minute. Draco Malfoy lowers his wand.A Deathly Hallows rewrite in which Draco accepts Dumbledore's offer to fake his death and go into hiding with the Order of the Phoenix.",18 Jun 2021,"16,975"
"Wait and Hope
      by
        
      
mightbewriting",mightbewriting,"“Harry,” Hermione began, voice very controlled, but she could feel the blade of panic slicing at her vocal cords. “Why was Draco Malfoy just screaming bloody murder about his,” and the word almost strangled her as she said it, “wife?”Harry's green eyes blew wide. Healer Lucas pinched the bridge of her nose, clearly displeased with the recent series of events.“He was referring to you, my dear,” she said. “That was the other question you got wrong. Your name is Hermione Jean Granger-Malfoy.”Hermione had to be sedated again.
[In which Hermione loses the last six year's worth of her memories, including the entirety of her relationship and marriage to Draco.]",09 Apr 2020,"29,488"
"All the Wrong Things
      by
        
      
LovesBitca8",LovesBitca8,"Sequel to ""The Right Thing to Do"" - Draco's POV. Part 2 of the ""Rights and Wrongs"" series.",14 Apr 2019,"15,875"
"From Wiltshire, With Love
      by
        
      
MistressLynn



        for Misdemeanor1331, GeriatricPeepshow, janblues, MykEsprit, Pir_PirOmanka, Kayrinait, Shampoo_ish",MistressLynn,"Hermione convinces Draco to spy for the Order and she becomes his handler. But what are his true motivations? Hard to say when he's still figuring that out himself.WINNER: 2022 Top Dramione Fics on Reddit4th Place Wartime2nd Place BAMF!Hermione..............................................................Draco cut her off. “You may have my wand, but you're not in control of the flow of information here. It’s not your life on the line.”Granger bristled at his assertion. “My life is on the line every day.”“So. Is. Mine.” He growled back. “Give me my fucking wand and don’t be so bloody obvious when you contact me.”She narrowed her eyes. “I already told you I'd be more careful next time.”She better be.“One more thing.”“What, Malfoy?” she snapped, still angry she hadn’t gotten the information she wanted.He pointed his finger at her so she would understand how important this was. “You need to learn Occlumency. If you’re captured, I’m dead.”She stared back in defiance. “We both are.”He couldn’t argue with that.She tossed his wand to the floor and Disapparated with a crack.",23 Dec 2021,"12,355"
"The Eagle's Nest
      by
        
      
HeartOfAspen",HeartOfAspen,"Hermione's eighth year at Hogwarts is already going to be difficult in the aftermath of the war, but is further thrown into upheaval when Headmistress McGonagall orders a re-sorting of all students to promote inter-house unity. But when the Sorting Hat sends Hermione to Ravenclaw with Draco - and without Harry or Ron - how will she cope? [Epilogue? What epilogue?] Prevalent alchemy.",21 Sep 2020,"18,615"
"Sugar and Spice
      by
        
      
InLoveWithForever",InLoveWithForever,"Contrary to what she claimed, it wasn’t grass and new parchment and spearmint toothpaste she smelled.A mind-boggling amalgamation of confusion followed by a peripheral realization, and then instantaneous fear made her flush so severely that the room went fuzzy around the edges of her vision as she choked out the lie.It was old parchment housed in the restricted section, tart green apples, and something spicy—not cinnamon, cloves?—that lingered inside her nostrils. She was woozy, her lids drooping heavily, even as a small part of her brain screamed at how wrong this was. A larger, louder part of her shoved the shame down in favor of baser instincts. Those instincts dampened and dissipated and the shame crowded in the further removed she was from the delicate, unmistakable scent wafting from the cauldron.WINNER of Mischief Managed Award (Best Recently Completed Story) 2019 Enchanted AwardsWINNER of Summer Lovin' Award (Best Love Story) 2019 Enchanted Awards",17 Mar 2019,"15,955"
"Amor Vincit Omnia
      by
        
      
Twin_Flame_Blues",Twin_Flame_Blues,"After three years of dating, Ron admits he cheated on Hermione for two of those years with Daphne Greengrass--and Harry knew all about it. Reeling from the betrayal by her friends and family, Hermione must rebuild her life and discover new bonds with an unlikely group including Theo Nott, Blaise Zabini, and Pansy Parkinson.What happens when Draco Malfoy, her first and deepest love, suddenly reappears in Hermione's life and she finds that her feelings have only grown deeper with time?OR: Hermione and Draco secretly dated at Hogwarts, he left after his trial, and now he's returned to win her back.",11 Dec 2022,"13,599"
"On the Nature of Daylight
      by
        
      
ikorous",ikorous,Hermione Granger wanted to lose control. And Draco Malfoy wanted to take it.,14 Aug 2021,"9,829"
"Beginning and End
      by
        
      
mightbewriting",mightbewriting,"Years. Broken into months into weeks into days—into hours, minutes, seconds—into moments. Simple at one end, complex at the other. In Draco’s experience, moments, even when simple, had a habit of becoming irretrievable. Moments grew, stretched, multiplied into ages and eras that defined whole stretches of measurable time. Draco regretted several moments in his life, some within his control, some without: all of them irretrievable in nature. At a certain point, wedged between ‘what-ifs’ of his own devising, he’d stopped trying to keep track of those regrettable moments: now and then, pushing and pulling, coming and going, beginning and end. Moments were only moments for just as long. After that, he had no control.
[In which Draco is forced to work with Hermione, falls in love, makes many mistakes, and eventually becomes his own man. A Draco POV prequel to Wait and Hope.]",26 Dec 2020,"12,272"
"Perfectly in Pieces
      by
        
      
CDLynn",CDLynn,"A Golden Girl missing.A Slytherin Prince trapped.An Order holding secrets.And a Dark Lord ruling.Warning: Dark AU (not dark main character) with deep discussions of trauma caused by physical, emotional, and sexual abuse.This fic starts out in the midst of the darkness, and shows the trauma, and healing journeys of each character as they fight to keep as much of themselves as possible, in a world trying to take it all.(The rape is not between Draco and Hermione)",27 Jun 2022,"6,559"
